TIME,		VALUE
[s],		[boh]
9.889940,	4.843750
9.899464,	4.482422
9.908988,	3.945312
9.918512,	3.276367
9.928036,	2.539062
9.937559,	1.801758
9.947083,	1.123047
9.956607,	0.566406
9.966131,	0.180664
9.975655,	0.004883
9.985178,	0.043945
9.994702,	0.302734
0.004226,	0.756836
0.013750,	1.362305
0.023274,	2.070312
0.032797,	2.817383
0.042321,	3.535156
0.051845,	4.160156
0.061369,	4.638672
0.070893,	4.926758
0.080416,	4.995117
0.089940,	4.843750
0.099464,	4.482422
0.108988,	3.945312
0.118512,	3.281250
0.128035,	2.543945
0.137559,	1.806641
0.147083,	1.127930
0.156607,	0.571289
0.166131,	0.180664
0.175654,	0.004883
0.185178,	0.039062
0.194702,	0.302734
0.204226,	0.751953
0.213750,	1.362305
0.223273,	2.070312
0.232797,	2.817383
0.242321,	3.535156
0.251845,	4.160156
0.261369,	4.638672
0.270892,	4.921875
0.280416,	4.995117
0.289940,	4.843750
0.299464,	4.487305
0.308988,	3.950195
0.318511,	3.286133
0.328035,	2.548828
0.337559,	1.806641
0.347083,	1.127930
0.356607,	0.571289
0.366130,	0.185547
0.375654,	0.004883
0.385178,	0.039062
0.394702,	0.297852
0.404226,	0.751953
0.413749,	1.357422
0.423273,	2.065430
0.432797,	2.812500
0.442321,	3.530273
0.451845,	4.155273
0.461368,	4.633789
0.470892,	4.921875
0.480416,	4.995117
0.489940,	4.843750
0.499464,	4.487305
0.508987,	3.955078
0.518511,	3.286133
0.528035,	2.553711
0.537559,	1.811523
0.547083,	1.132812
0.556606,	0.571289
0.566130,	0.185547
0.575654,	0.004883
0.585178,	0.039062
0.594702,	0.297852
0.604225,	0.747070
0.613749,	1.352539
0.623273,	2.060547
0.632797,	2.807617
0.642321,	3.525391
0.651844,	4.150391
0.661368,	4.633789
0.670892,	4.921875
0.680416,	4.995117
0.689940,	4.848633
0.699463,	4.492187
0.708987,	3.955078
0.718511,	3.291016
0.728035,	2.558594
0.737559,	1.816406
0.747082,	1.137695
0.756606,	0.576172
0.766130,	0.185547
0.775654,	0.004883
0.785178,	0.039062
0.794701,	0.292969
0.804225,	0.742187
0.813749,	1.347656
0.823273,	2.060547
0.832797,	2.802734
